Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review
8198,2/19/2009,Park Slope haven 15 mins from Soho,Brooklyn,Apartment,90,Entire home/apt,11217,1,1,39,150,93
8380,2/22/2009,River view in the Village,Manhattan,Apartment,95,Entire home/apt,10014,1,1,57,200,98
8440,2/23/2009,Luxe 1BD apartment by Prospect Park,Brooklyn,Apartment,95,Entire home/apt,11218,1,1,4,150,95
8425,2/23/2009,Charming W.Village Apt. 8/25-9/15,Manhattan,Apartment,100,Entire home/apt,10014,1,1,1,175,100
8605,2/25/2009,Sunny 1BR East Harlem Apartment,Manhattan,Apartment,90,Entire home/apt,10035,2,1,11,109,91
9744,3/10/2009,"Beautiful Apt, Garden #3 Best Area",Brooklyn,Apartment,95,Entire home/apt,11215,3,1,67,135,97
10176,3/14/2009,"Amazing Apt in WILLIAMSBURG, NY!!",Brooklyn,Apartment,95,Entire home/apt,11211,2,1,60,250,96
10889,3/21/2009,BnoB (2 br) — Heart of Williamsburg,Brooklyn,Apartment,90,Entire home/apt,11249,2,1,132,250,93
10889,3/21/2009,The Institute—Heart of Williamsburg,Brooklyn,Apartment,90,Entire home/apt,11249,2,1,136,250,94
11037,3/22/2009,"Large, Sunny, Central 2br; Terrace",Brooklyn,Apartment,100,Entire home/apt,11217,2,1,2,240,100
11481,3/26/2009,House on 11th - Garden Level Apt.,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,119,165,91
11481,3/26/2009,Sunset Retreat - Charming Oasis,Brooklyn,Apartment,90,Entire home/apt,11220,1,1,79,90,90
11481,3/26/2009,Sunset Retreat - Top Floor Oasis,Brooklyn,Apartment,85,Entire home/apt,11220,1,1,21,105,88
11481,3/26/2009,House on Henry (2nd FLR Suite),Brooklyn,Apartment,85,Entire home/apt,11231,2,1,68,155,88
11481,3/26/2009,House on Henry (3rd FLR Suite),Brooklyn,Apartment,90,Entire home/apt,11231,2,1,106,160,94
12712,4/8/2009,Lovely Bklyn Apt with Private Deck,Brooklyn,Apartment,90,Entire home/apt,11205,1,1,5,135,92
12712,4/8/2009,Perfectly Situated LES 1-Bedroom,Manhattan,Apartment,90,Entire home/apt,10002,1,1,146,125,91
12712,4/8/2009,Real 2-Bedroom East Village Apt!,Manhattan,Apartment,85,Entire home/apt,10009,3,1,63,200,87
12869,4/10/2009,Luxury on a Budget,Manhattan,Apartment,90,Entire home/apt,10009,1,1,13,250,92
13424,4/14/2009,An Oasis In Hell's Kitchen!,Manhattan,Apartment,100,Entire home/apt,10019,1,1,7,280,100
13908,4/18/2009,2 BR Upper West Side Apt.,Manhattan,Apartment,65,Entire home/apt,10025,3,1,12,150,66
14063,4/19/2009,BK Heights Apartment for cat lovers,Brooklyn,Apartment,100,Entire home/apt,11201,3,1,4,125,100
14204,4/20/2009,Charming 2 Bedroom Red Hook Loft!,Brooklyn,Apartment,100,Entire home/apt,11231,2,1,18,230,100
15192,4/28/2009,Cozy Furnished 2 Bedroom Apartment,Brooklyn,Apartment,80,Entire home/apt,11216,3,1,8,159,84
15154,4/28/2009,"Bright 1 Bedroom, Perfect Location!",Manhattan,Apartment,80,Entire home/apt,10023,1,1,2,160,80
15167,4/28/2009,2 Bed 2 Bath Apt w/ balcony & WiFi,Manhattan,Apartment,95,Entire home/apt,10031,3,1,13,107,98
15742,5/4/2009,"Beautiful, private, uptown studio",Manhattan,Apartment,80,Entire home/apt,10031,1,1,20,110,83
16851,5/12/2009,"Hip Whole Apt in Wmsburg, Brooklyn",Brooklyn,Apartment,90,Entire home/apt,11211,1,1,8,125,93
17296,5/15/2009,Bright studio in central Mahattan,Manhattan,Apartment,95,Entire home/apt,10016,1,1,5,100,96
17655,5/18/2009,Modern LES Studio w/ Skyline Views,Manhattan,Apartment,95,Entire home/apt,10002,1,1,17,220,97
17930,5/19/2009,Charming 2 Bedroom by Prospect Park,Brooklyn,Apartment,100,Entire home/apt,11218,3,1,1,199,100
17798,5/19/2009,EAST VILLAGE DESIGNER LUXURY LOFT,Manhattan,Apartment,100,Entire home/apt,10009,3,1,4,399,100
17985,5/20/2009,Amazing Chinatown/SOHO one bed room,Manhattan,Apartment,85,Entire home/apt,10002,2,1,38,130,86
18174,5/21/2009,Cosy 2 bedroom in East Village,Manhattan,Apartment,90,Entire home/apt,10003,3,1,55,160,92
18374,5/22/2009,Bright & Modern Downtown Studio,Manhattan,Apartment,95,Entire home/apt,10003,1,1,89,135,96
18611,5/24/2009,East Village sunny & large 2 bdr,Manhattan,Apartment,95,Entire home/apt,10003,2,1,5,350,96
19031,5/27/2009,Charming Greenwich Village Apt,Manhattan,Apartment,80,Entire home/apt,10012,1,1,14,225,81
19852,6/2/2009,Lg Beautiful Garden Apt Sleeps 2,Manhattan,Apartment,95,Entire home/apt,10035,1,1,8,165,97
19969,6/3/2009,SoHo Loft - Entire Floor,Manhattan,Apartment,95,Entire home/apt,10013,1,1,52,585,96
21286,6/12/2009,UWS Garden Getaway,Manhattan,Apartment,95,Entire home/apt,10024,2,1,9,225,97
21823,6/16/2009,Soaring Bushwick 3 Bedroom,Brooklyn,Apartment,95,Entire home/apt,11221,5,1,9,275,98
21904,6/16/2009,Modern 1 BR / NYC / EAST VILLAGE,Manhattan,Apartment,90,Entire home/apt,10003,1,1,8,240,93
22220,6/18/2009,Modern brick 1 bedroom on UES,Manhattan,Apartment,90,Entire home/apt,10028,1,1,17,175,91
23048,6/24/2009,Park Slope Oasis: Your home base!,Brooklyn,Apartment,90,Entire home/apt,11215,1,1,18,139,94
23276,6/25/2009,"Luxe, Spacious 2BR 2BA Nr Trains",Brooklyn,Apartment,100,Entire home/apt,11215,2,1,3,260,100
23435,6/26/2009,Spectacular River View Studio,Manhattan,Apartment,95,Entire home/apt,10281,1,1,48,185,96
23727,6/29/2009,Prospect Heights quiet sunny nest,Brooklyn,Apartment,95,Entire home/apt,11238,2,1,6,150,97
23856,6/30/2009,Large modern 2-BR by McCaren Park,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,2,150,100
23843,6/30/2009,Lower East Side/EV 1 BR Charmer,Manhattan,Apartment,95,Entire home/apt,10002,1,1,15,175,96
24222,7/2/2009,"3BR, 1.5 BA EV apt w/ backyard",Manhattan,Apartment,95,Entire home/apt,10009,4,1,9,375,96
25183,7/10/2009,MAISON DES SIRENES 3,Brooklyn,Apartment,90,Entire home/apt,11216,4,1,23,150,91
25183,7/10/2009,"MAISON DES SIRENES1,book NOW",Brooklyn,Apartment,90,Entire home/apt,11216,4,1,36,150,92
25551,7/14/2009,williamsburg design // with balcony,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,20,199,97
25632,7/14/2009,"Sunny 2BD, 2 balconies",Brooklyn,Apartment,100,Entire home/apt,11222,2,1,1,300,100
26333,7/20/2009,Artist Loft in Midtown West,Manhattan,Apartment,95,Entire home/apt,10018,2,1,6,375,96
26640,7/21/2009,Gorgeous Sunny Studio,Manhattan,Apartment,75,Entire home/apt,10024,2,1,38,135,79
26640,7/21/2009,Stunning 1br in Historic Brownstone,Manhattan,Apartment,90,Entire home/apt,10024,2,1,26,289,91
26640,7/21/2009,Sunny Studios in Historic Browstone,Manhattan,Apartment,80,Entire home/apt,10024,1,1,9,179,80
28267,7/28/2009,Cozy BK home with HUGE private yard,Brooklyn,Apartment,95,Entire home/apt,11249,3,1,23,195,95
29096,8/1/2009,Clean East Village Studio,Manhattan,Apartment,95,Entire home/apt,10009,1,1,165,135,95
29642,8/4/2009,Cute apartment LES/Nolita/Chinatown,Manhattan,Apartment,90,Entire home/apt,10002,2,1,4,190,90
29805,8/5/2009,"Cool, quiet Park Slope apartment",Brooklyn,Apartment,100,Entire home/apt,11215,2,1,3,125,100
30193,8/6/2009,Midtown Pied-a-terre,Manhattan,Apartment,90,Entire home/apt,10019,1,1,40,150,93
30811,8/10/2009,European Style apartment in NYC,Manhattan,Apartment,80,Entire home/apt,10025,1,1,1,115,80
32105,8/17/2009,East Village 1 Bedroom apartment,Manhattan,Apartment,95,Entire home/apt,10003,1,1,7,140,95
32330,8/18/2009,E Vill-great studio sleeps 2,Manhattan,Apartment,85,Entire home/apt,10009,1,1,83,130,85
32330,8/18/2009,East Vill Garden duplex apt-slps 7,Manhattan,Apartment,90,Entire home/apt,10009,4,1,29,375,94
32330,8/18/2009,HUGE-3 bedroom-ENTIRE FLR -slps 6+2,Manhattan,Apartment,80,Entire home/apt,10009,4,1,83,375,84
32330,8/18/2009,LARGE-3 bedroom -EAST VILL-slps 6+3,Manhattan,Apartment,75,Entire home/apt,10009,4,1,63,375,79
32330,8/18/2009,Manhattan-EVill-sunny studio slps 4,Manhattan,Apartment,80,Entire home/apt,10009,2,1,73,130,84
32800,8/20/2009,"Spacious&Pretty, heart of Brooklyn",Brooklyn,Apartment,100,Entire home/apt,11216,1,1,1,85,100
32774,8/20/2009,Consummate 1Bdrm in Cultural Bklyn,Brooklyn,Apartment,85,Entire home/apt,11221,1,1,43,79,88
33405,8/23/2009,Summer In Greenpoint! Deal! Enjoy!,Brooklyn,Apartment,90,Entire home/apt,11222,1,1,22,142,93
33279,8/23/2009,SPACIOUS ELEVATOR APARTMENT,Manhattan,Apartment,80,Entire home/apt,10002,1,1,42,165,84
33279,8/23/2009,"East Village ""Garden Apartment""",Manhattan,Apartment,85,Entire home/apt,10009,1,1,32,150,87
33279,8/23/2009,East village Getaway Courtyard 3E,Manhattan,Apartment,85,Entire home/apt,10009,1,1,20,169,85
33279,8/23/2009,Heart of the East Village 2E,Manhattan,Apartment,90,Entire home/apt,10009,1,1,10,159,90
33279,8/23/2009,HEART OF THE EAST VILLAGE 2W,Manhattan,Apartment,85,Entire home/apt,10009,1,1,43,159,86
33279,8/23/2009,Heart of the East Village 4E,Manhattan,Apartment,80,Entire home/apt,10009,2,1,48,169,82
33279,8/23/2009,HEART OF THE EAST VILLAGE 4W,Manhattan,Apartment,90,Entire home/apt,10009,1,1,35,169,90
33279,8/23/2009,Sunny renovated studio courtyard 3W,Manhattan,Apartment,90,Entire home/apt,10009,1,1,7,179,94
34128,8/26/2009,Designer loft in hip Williamsburg,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,21,170,99
35017,8/30/2009,Sunny Artistic East Village Apt,Manhattan,Apartment,95,Entire home/apt,10003,1,1,20,160,96
35271,8/31/2009,Manhattan studio Apartment,Manhattan,Apartment,90,Entire home/apt,10021,2,1,31,150,94
35271,8/31/2009,Manhattan City 1 Bed Room Apartment,Manhattan,Apartment,60,Entire home/apt,10029,2,1,1,110,60
35271,8/31/2009,Manhattan large 1 Bed Rm Apartment,Manhattan,Apartment,80,Entire home/apt,10029,3,1,48,110,84
35271,8/31/2009,Upper Eastside Studio Apartment,Manhattan,Apartment,85,Entire home/apt,10065,2,1,46,140,85
35935,9/3/2009,Large Private B&B Style Studio,Brooklyn,Apartment,90,Entire home/apt,11238,2,1,52,80,92
36017,9/3/2009,"Roomy 1BR near park, museums, more",Brooklyn,Apartment,80,Entire home/apt,11238,1,1,82,131,83
36841,9/7/2009,European garden bed & breakfast,Brooklyn,Apartment,100,Entire home/apt,11233,2,1,1,115,100
36897,9/7/2009,Lovely studio for a romantic pair,Manhattan,Apartment,95,Entire home/apt,10002,1,1,20,113,96
37286,9/9/2009,Urban oasis! 2 bedrooms w/ 3 patios,Brooklyn,Apartment,90,Entire home/apt,11206,2,1,14,165,93
37809,9/11/2009,2BR bright and airy Brownstone,Brooklyn,Apartment,95,Entire home/apt,11231,2,1,8,180,97
38265,9/13/2009,Prime Williamsburg Luxury Apartment,Brooklyn,Apartment,90,Entire home/apt,11211,1,1,7,160,91
38513,9/14/2009,Spacious Modern  2 Bedroom Suite,Brooklyn,Apartment,85,Entire home/apt,11226,4,1,27,122,85
38648,9/15/2009,Spacious Chelsea Sanctuary,Manhattan,Apartment,80,Entire home/apt,10011,2,1,17,329,84
39260,9/17/2009,Cozy entire apt. great location,Manhattan,Apartment,95,Entire home/apt,10029,1,1,23,120,95
39866,9/20/2009,Beautiful studio/Upper east side.,Manhattan,Apartment,95,Entire home/apt,10028,2,1,10,160,98
40275,9/21/2009,Spacious Lofty 2BD in Clinton Hill,Brooklyn,Apartment,100,Entire home/apt,11205,4,1,2,135,100
41091,9/24/2009,20FT CEILING LIGHT AIRY PENTHOUSE,Brooklyn,Apartment,100,Entire home/apt,11222,2,1,4,475,100
42273,9/29/2009,Park Slope Green Guest House,Brooklyn,Apartment,95,Entire home/apt,11215,1,1,247,135,98
42032,9/29/2009,Light-filled classic Central Park,Manhattan,Apartment,90,Entire home/apt,10025,1,1,41,140,93
42756,10/1/2009,Gorgeous Williamsburg 1BR Apartment,Brooklyn,Apartment,95,Entire home/apt,11211,2,1,190,238,96
42756,10/1/2009,Roof-Top Room in Williamsburg,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,257,140,95
43321,10/4/2009,Lovely Bright Williamsburg Apt,Brooklyn,Apartment,100,Entire home/apt,11211,1,1,1,110,100
44136,10/7/2009,HUGE Designer 2 Bdrm Park Slope Apt,Brooklyn,Apartment,95,Entire home/apt,11215,2,1,7,250,97
44145,10/7/2009,Cute apt in artist's home,Brooklyn,Apartment,85,Entire home/apt,11237,1,1,85,80,89
45016,10/11/2009,Stay at The Brooklyn Apartment!,Brooklyn,Apartment,90,Entire home/apt,11216,3,1,103,160,90
45098,10/11/2009,"Lovely, calm 3 BR on leafy block",Brooklyn,Apartment,80,Entire home/apt,11238,4,1,1,150,80
45120,10/11/2009,One-Bedroom Apartment on the Bowery,Manhattan,Apartment,80,Entire home/apt,10003,1,1,2,200,80
45609,10/13/2009,Spacious 1BR Apt in Greenpoint,Brooklyn,Apartment,100,Entire home/apt,11222,2,1,12,149,100
45587,10/13/2009,"Excellent location, gorgeous studio",Manhattan,Apartment,90,Entire home/apt,10011,2,1,11,150,92
45682,10/13/2009,Beautiful New Garden Apartment,Manhattan,Apartment,95,Entire home/apt,10023,2,1,41,150,98
46650,10/18/2009,Cute Top Floor West Village Studio,Manhattan,Apartment,90,Entire home/apt,10014,1,1,35,195,93
47691,10/22/2009,Perfect SOHO - Little Italy Nest,Manhattan,Apartment,95,Entire home/apt,10013,3,1,29,308,97
48143,10/25/2009,Financial District Retreat 2,Manhattan,Apartment,95,Entire home/apt,10005,1,1,11,235,98
48143,10/25/2009,Finanical District Retreat,Manhattan,Apartment,100,Entire home/apt,10005,1,1,3,235,100
48143,10/25/2009,Quiet Midtown Studio,Manhattan,Apartment,95,Entire home/apt,10016,1,1,9,235,96
48143,10/25/2009,Spring Retreat in Midtown,Manhattan,Apartment,90,Entire home/apt,10016,1,1,2,235,90
48247,10/26/2009,BROWNSTONE - 2 BEDROOM APT,Brooklyn,Apartment,90,Entire home/apt,11216,3,1,125,115,91
48599,10/27/2009,Quiet Chelsea Studio w/Roof Access,Manhattan,Apartment,95,Entire home/apt,10011,1,1,10,145,98
48957,10/28/2009,Artist Oasis in Historic Brownstone,Brooklyn,Apartment,100,Entire home/apt,11215,1,1,2,235,100
49236,10/28/2009,amazing  brand new one bed room apt,Manhattan,Apartment,60,Entire home/apt,10075,1,1,24,185,62
49236,10/28/2009,any term sublet night week months,Manhattan,Apartment,70,Entire home/apt,10075,1,1,115,185,74
50148,10/31/2009,Charming Brownstone - Near PRATT,Brooklyn,Apartment,80,Entire home/apt,11238,2,1,49,150,84
50148,10/31/2009,Charming Brownstone 3- Near PRATT,Brooklyn,Apartment,85,Entire home/apt,11238,2,1,29,150,86
50335,10/31/2009,Large East Village 1 BD by Bowery,Manhattan,Apartment,90,Entire home/apt,10003,1,1,5,150,93
51038,11/3/2009,large garden triplex apt near PRATT,Brooklyn,Apartment,90,Entire home/apt,11238,1,1,36,248,93
52233,11/7/2009,"1 br Williamsburg Brooklyn Condo,",Brooklyn,Apartment,100,Entire home/apt,11211,1,1,4,100,100
52263,11/7/2009,Modern One-Bedroom in Luxury Bldg,Manhattan,Apartment,90,Entire home/apt,10001,1,1,2,220,90
52751,11/9/2009,1br West Village Chelsea Meatpackin,Manhattan,Apartment,90,Entire home/apt,10014,1,1,60,207,91
52788,11/9/2009,5th Ave on Central Park Museum Mile,Manhattan,Apartment,90,Entire home/apt,10029,1,1,19,199,94
54090,11/13/2009,Amazing Studio Apt in East Village!,Manhattan,Apartment,95,Entire home/apt,10003,1,1,54,145,96
54255,11/14/2009,** Historic Charming Brownstone **,Brooklyn,Apartment,95,Entire home/apt,11233,3,1,24,195,96
54833,11/16/2009,Charming Chelsea One Bedroom,Manhattan,Apartment,95,Entire home/apt,10011,1,1,8,225,95
55176,11/17/2009,It's all about Bushwick BROOKLYN,Brooklyn,Apartment,90,Entire home/apt,11207,2,1,98,125,93
55298,11/17/2009,Large W 15th steps to Union Square,Manhattan,Apartment,90,Entire home/apt,10011,2,1,65,180,92
55298,11/17/2009,W15th and 6th ave! new one bedroom,Manhattan,Apartment,95,Entire home/apt,10011,1,1,42,150,97
55298,11/17/2009,West 15th St steps to Union Square,Manhattan,Apartment,80,Entire home/apt,10011,2,1,90,160,82
55298,11/17/2009,Central Park Loft- walk anywhere,Manhattan,Apartment,85,Entire home/apt,10024,3,1,20,180,86
55298,11/17/2009,Central Park West 2 bedroom,Manhattan,Apartment,75,Entire home/apt,10024,2,1,21,210,79
55458,11/18/2009,Gorgeous 2BR Apt with Terrace,Brooklyn,Apartment,90,Entire home/apt,11249,2,1,6,300,90
55775,11/19/2009,"Serene, Modern Cobble Hill Studio",Brooklyn,Apartment,95,Entire home/apt,11201,1,1,56,150,97
56104,11/20/2009,* BROOKLYN FACTORY LOFT *,Brooklyn,Apartment,95,Entire home/apt,11206,2,1,33,190,96
56246,11/21/2009,Greenpoint Place...Has It All!,Brooklyn,Apartment,95,Entire home/apt,11222,2,1,51,149,95
56284,11/21/2009,Beautiful Apartment in Manhattan!!!,Manhattan,Apartment,100,Entire home/apt,10010,1,1,4,200,100
56326,11/21/2009,"2 bedroom apt, 15 min to Times Sq.",Manhattan,Apartment,90,Entire home/apt,10027,2,1,6,200,90
56512,11/22/2009,Williamsburg 1 bedroom Apartment,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,57,170,98
56663,11/22/2009,2500 sqf Chelsea Luxury Loft,Manhattan,Apartment,90,Entire home/apt,10001,4,1,25,445,90
56471,11/22/2009,PRIME East Village 1 BR APARTMENT!,Manhattan,Apartment,75,Entire home/apt,10009,1,1,100,135,78
56944,11/23/2009,2 bedroom apartment  in Manhattan,Manhattan,Apartment,80,Entire home/apt,10010,2,1,14,99,82
56944,11/23/2009,"Your Manhattan House, Gramercy Park",Manhattan,Apartment,80,Entire home/apt,10010,2,1,63,129,82
57101,11/24/2009,Rockaway Beach Paradise Apartment,Queens,Apartment,90,Entire home/apt,11693,2,1,8,160,90
57406,11/25/2009,Open artist loft close to Manhattan,Brooklyn,Apartment,95,Entire home/apt,11206,2,1,24,165,96
57574,11/25/2009,Modern 1br loft apt in Williamsburg,Brooklyn,Apartment,95,Entire home/apt,11211,1,1,10,195,98
57877,11/26/2009,Cozy studio close to Union Square,Manhattan,Apartment,85,Entire home/apt,10011,1,1,27,160,89
57877,11/26/2009,Garden studio in Union Square,Manhattan,Apartment,90,Entire home/apt,10011,2,1,6,220,93
57877,11/26/2009,Luxury studio close to time square,Manhattan,Apartment,100,Entire home/apt,10019,1,1,1,180,100
58745,11/30/2009,Bed-Stuy DIY. What's mine is yours.,Brooklyn,Apartment,90,Entire home/apt,11221,4,1,73,136,90
58702,11/30/2009,Chic and cozy studio - Theatre dist,Manhattan,Apartment,90,Entire home/apt,10019,3,1,107,150,91
59185,12/1/2009,Located in the heart of EVERYTHING!,Manhattan,Apartment,90,Entire home/apt,10065,3,1,5,247,92
59254,12/1/2009,Fully furnished 1br upper east side,Manhattan,Apartment,75,Entire home/apt,10075,2,1,50,149,76
59777,12/3/2009,Charming 2 Full Bath 3 Bed Suite,Brooklyn,Apartment,90,Entire home/apt,11221,6,1,7,207,90
59734,12/3/2009,COZY STUDIO IN TIMES SQUARE!,Manhattan,Apartment,90,Entire home/apt,10019,1,1,17,139,94
59734,12/3/2009,TIMES SQUARE THE PLACE YOU WANNA BE,Manhattan,Apartment,90,Entire home/apt,10019,1,1,114,109,94
60049,12/4/2009,Luxury Apt w Doorman/Elevators/Gym,Manhattan,Apartment,90,Entire home/apt,10002,2,1,8,175,94
60584,12/6/2009,Tons of light! 1 bedroom,Manhattan,Apartment,100,Entire home/apt,10031,1,1,4,120,100
60787,12/7/2009,2 room suite in quiet brownstone,Brooklyn,Apartment,95,Entire home/apt,11233,2,1,20,110,96
60787,12/7/2009,Large 2 BR apt in quiet brownstone,Brooklyn,Apartment,90,Entire home/apt,11233,3,1,51,100,92
60885,12/7/2009,Spacious and charming apartment!,Brooklyn,Apartment,95,Entire home/apt,11237,2,1,39,135,95
60923,12/7/2009,Chelsea studio with balcony & views,Manhattan,Apartment,90,Entire home/apt,10001,1,1,11,205,93
61161,12/8/2009,Charming home in Hell's Kitchen,Manhattan,Apartment,95,Entire home/apt,10018,1,1,8,200,95
61403,12/9/2009,Artist Garden Apartment Greenpoint,Brooklyn,Apartment,95,Entire home/apt,11222,2,1,43,140,97
61531,12/9/2009,Red Hook Modern,Brooklyn,Apartment,75,Entire home/apt,11231,,1,7,145,79
